byte_position,byte_value,avg_time_ns
0,0,122192.25000012558
0,1,120007.54200016672
0,2,119516.83400002366
0,3,121081.00000000377
0,4,120727.83400003573
0,5,121831.7919999663
0,6,119731.91600009159
0,7,120298.70800006393
0,8,120627.95899987577
0,9,120102.12499990303
0,10,119727.125000054
0,11,119552.87499995393
0,12,119638.41699980549
0,13,120415.08300012538
0,14,119841.87500002008
0,15,119913.12500003914
0,16,120016.50000001973
0,17,119744.00000008245
0,18,119868.95799986996
0,19,119964.62499996596
0,20,119585.33300003182
0,21,119662.58300003574
0,22,119755.2920000362
0,23,120695.33399994725
0,24,121079.45899992956
0,25,121124.33399988731
0,26,120140.3750001191
0,27,119772.74999981091
0,28,119187.16600007428
0,29,120447.16700006575
0,30,122090.12499988603
0,31,120477.37499983668
0,32,120633.54099996104
0,33,133210.25000004738
0,34,120122.04200004817
0,35,120357.54199996518
0,36,120640.62500007822
0,37,120697.62500004799
0,38,120098.95799997139
0,39,120045.24999997557
0,40,119507.75000013891
0,41,119563.25000005563
0,42,119358.99999980393
0,43,119536.54099988853
0,44,119597.24999996979
0,45,119894.20899999459
0,46,119455.04100003745
0,47,119747.87500003004
0,48,119800.95800004165
0,49,119916.37500000252
0,50,119854.79200006921
0,51,119689.83299993852
0,52,119393.54099990851
0,53,120789.08299986324
0,54,121106.16699987986
0,55,119762.9999999208
0,56,119492.12500007889
0,57,119480.58299981312
0,58,119746.83400012509
0,59,119242.75000001217
0,60,119678.4580001804
0,61,119674.20800010586
0,62,118969.45800003778
0,63,119773.33300001192
0,64,119742.95799996071
0,65,119787.62499984441
0,66,119408.91699987333
0,67,119685.79099993804
0,68,119649.58299995487
0,69,119916.91599996557
0,70,119360.20899997857
0,71,119942.29200013251
0,72,119727.54199996416
0,73,120029.83399997902
0,74,119534.79099997821
0,75,122014.99999991938
0,76,121110.95899990687
0,77,119890.3329998302
0,78,119779.54200006025
0,79,119238.25000008037
0,80,119948.95799989536
0,81,119450.00000014261
0,82,119610.12500000834
0,83,120952.54200016825
0,84,120249.74999985716
0,85,119489.83299998872
0,86,120017.16700001452
0,87,119090.2079999887
0,88,119491.4999998673
0,89,120087.37499991184
0,90,119595.95799999079
0,91,119300.29199993442
0,92,142624.45899998964
0,93,122622.62500007637
0,94,120229.99999999229
0,95,119547.6249999956
0,96,119967.83300014613
0,97,119850.08399983599
0,98,119972.74999998808
0,99,119832.4169999978
0,100,119537.49999997854
0,101,120115.70799995752
0,102,119584.95800013225
0,103,120148.29200006716
0,104,119974.91599981913
0,105,119794.9580000568
0,106,119750.45799999862
0,107,119884.33299984536
0,108,119655.08299999783
0,109,118840.74999989025
0,110,119580.33400014756
0,111,119571.41700008833
0,112,119431.16699990242
0,113,119544.4579998366
0,114,119661.50000012021
0,115,119757.0839999571
0,116,119250.16600002891
0,117,119416.37500012803
0,118,119213.70899995054
0,119,119247.70800010265
0,120,119748.16699989788
0,121,119826.20800017685
0,122,119568.20799991874
0,123,119067.9999999702
0,124,120579.49999984885
0,125,119942.62500002151
0,126,119959.16599994416
0,127,119415.08400013845
0,128,119699.33400018817
0,129,119877.62500007193
0,130,119463.499999938
0,131,120157.3329999519
0,132,119589.33299979435
0,133,120002.29199998103
0,134,119580.20899987787
0,135,119733.66699999133
0,136,119855.74999994242
0,137,119694.20800005537
0,138,119506.5419999537
0,139,119969.37499998239
0,140,120025.25000002606
0,141,120475.45800010084
0,142,120448.29199999185
0,143,120631.49999994494
0,144,120426.25000003682
0,145,120817.16700004108
0,146,121147.37499996409
0,147,120217.04099993258
0,148,120260.16700019682
0,149,119985.00000004242
0,150,119799.29200015249
0,151,119900.29200001118
0,152,120373.41700010984
0,153,119969.45900000355
0,154,120645.20900003117
0,155,120176.12499994357
0,156,119588.62500000578
0,157,120127.41700004881
0,158,119743.58299994492
0,159,119838.9579999457
0,160,119950.83300007536
0,161,120632.16699993973
0,162,121279.50000012788
0,163,121411.29199994793
0,164,121367.54099992686
0,165,121226.33400008453
0,166,121041.2919999726
0,167,120591.45800003535
0,168,120708.25000000696
0,169,121786.04100017765
0,170,121316.58299995252
0,171,120960.83300002647
0,172,121211.41700004046
0,173,121838.66700002
0,174,121384.83300009284
0,175,121697.62500002435
0,176,123986.87500012782
0,177,123079.58299993514
0,178,122973.08300003351
0,179,125049.62499997418
0,180,122553.62499990952
0,181,122129.79199989604
0,182,121632.95899995319
0,183,121926.66600003577
0,184,122097.79199997682
0,185,122329.7920000732
0,186,122422.16699996789
0,187,121354.74999990947
0,188,122539.45800011934
0,189,121439.3329998984
0,190,120961.87499992084
0,191,121638.95800017599
0,192,121749.62500012043
0,193,122442.08400011303
0,194,121840.83300007842
0,195,122868.70900015856
0,196,121853.12500014334
0,197,122905.66600017884
0,198,123459.9580000122
0,199,122527.6670002131
0,200,122393.7089998799
0,201,122961.91699988411
0,202,123314.20800001071
0,203,123210.04199998241
0,204,123281.08300016538
